run,time,backR,backC,backL,frontRR,frontR,frontC,frontL,frontLL
0,0,6,6,52,52,5,5,57,5
0,1,6,6,52,52,5,5,57,5
0,2,6,6,52,52,5,5,57,5
0,3,6,6,52,52,5,5,57,5
0,4,6,6,52,52,5,5,57,5
0,5,6,6,52,52,5,5,57,5
0,6,6,6,52,52,5,5,57,5
0,7,6,6,52,52,5,5,57,5
0,8,6,6,52,52,5,5,57,5
0,9,6,6,52,52,5,5,57,5
0,10,6,6,52,52,5,5,57,5
0,11,6,6,52,52,5,5,57,5
0,12,6,6,52,52,5,5,57,5
0,13,6,6,52,52,5,5,57,5
0,14,6,6,52,52,5,5,57,5
0,15,6,6,52,52,5,5,57,5
0,16,6,6,52,52,5,5,57,5
0,17,6,6,52,52,5,5,57,5
0,18,6,6,52,52,5,5,57,5
0,19,6,6,52,52,5,5,57,5
0,20,6,6,52,52,10,5,57,5
0,21,6,6,52,52,12,5,57,5
0,22,6,6,53,52,13,5,57,5
0,23,6,6,53,52,18,5,57,5
0,24,6,6,53,52,20,5,57,5
0,25,6,6,54,52,23,5,57,5
0,26,6,6,55,52,28,5,57,5
0,27,6,6,55,52,36,5,57,5
0,28,6,6,59,52,46,5,57,5
0,29,6,6,63,52,62,5,57,5
0,30,6,6,73,52,91,5,57,5
0,31,6,6,74,52,93,5,57,5
1,0,6,6,52,52,5,5,57,5
1,1,6,6,52,52,5,5,57,5
1,2,6,6,52,52,5,5,57,5
1,3,6,6,52,52,5,5,57,5
1,4,6,6,52,52,5,5,57,5
1,5,6,6,52,52,5,5,57,5
1,6,6,6,52,52,5,5,57,5
1,7,6,6,52,52,5,5,57,5
1,8,6,6,52,52,5,5,57,5
1,9,6,6,52,52,5,5,57,5
1,10,6,6,52,52,5,5,57,5
1,11,6,6,52,52,5,5,57,5
1,12,6,6,52,52,5,5,57,5
1,13,6,6,52,52,5,5,57,5
1,14,6,6,52,52,5,5,57,5
1,15,6,6,52,52,5,5,57,5
1,16,6,6,52,52,5,5,57,5
1,17,6,6,52,52,5,5,57,5
1,18,6,6,52,52,5,5,57,5
1,19,6,6,52,52,5,5,57,5
1,20,6,6,52,52,10,5,57,5
1,21,6,6,52,52,12,5,57,5
1,22,6,6,53,52,13,5,57,5
1,23,6,6,53,52,18,5,57,5
1,24,6,6,53,52,20,5,57,5
1,25,6,6,54,52,23,5,57,5
1,26,6,6,55,52,28,5,57,5
1,27,6,6,55,52,36,5,57,5
1,28,6,6,59,52,46,5,57,5
1,29,6,6,63,52,62,5,57,5
1,30,6,6,73,52,91,5,57,5
1,31,6,6,74,52,93,5,57,5
2,0,6,6,52,52,5,5,57,5
2,1,6,6,52,52,5,5,57,5
2,2,6,6,52,52,5,5,57,5
2,3,6,6,52,52,5,5,57,5
2,4,6,6,52,52,5,5,57,5
2,5,6,6,52,52,5,5,57,5
2,6,6,6,52,52,5,5,57,5
2,7,6,6,52,52,5,5,57,5
2,8,6,6,52,52,5,5,57,5
2,9,6,6,52,52,5,5,57,5
2,10,6,6,52,52,5,5,57,5
2,11,6,6,52,52,5,5,57,5
2,12,6,6,52,52,5,5,57,5
2,13,6,6,52,52,5,5,57,5
2,14,6,6,52,52,5,5,57,5
2,15,6,6,52,52,5,5,57,5
2,16,6,6,52,52,5,5,57,5
2,17,6,6,52,52,5,5,57,5
2,18,6,6,52,52,5,5,57,5
2,19,6,6,52,52,5,5,57,5
2,20,6,6,52,52,10,5,57,5
2,21,6,6,52,52,12,5,57,5
2,22,6,6,53,52,13,5,57,5
2,23,6,6,53,52,18,5,57,5
2,24,6,6,53,52,20,5,57,5
2,25,6,6,54,52,23,5,57,5
2,26,6,6,55,52,28,5,57,5
2,27,6,6,55,52,36,5,57,5
2,28,6,6,59,52,46,5,57,5
2,29,6,6,63,52,62,5,57,5
2,30,6,6,73,52,91,5,57,5
2,31,6,6,74,52,93,5,57,5
3,0,6,6,52,52,5,5,57,5
3,1,6,6,52,52,5,5,57,5
3,2,6,6,52,52,5,5,57,5
3,3,6,6,52,52,5,5,57,5
3,4,6,6,52,52,5,5,57,5
3,5,6,6,52,52,5,5,57,5
3,6,6,6,52,52,5,5,57,5
3,7,6,6,52,52,5,5,57,5
3,8,6,6,52,52,5,5,57,5
3,9,6,6,52,52,5,5,57,5
3,10,6,6,52,52,5,5,57,5
3,11,6,6,52,52,5,5,57,5
3,12,6,6,52,52,5,5,57,5
3,13,6,6,52,52,5,5,57,5
3,14,6,6,52,52,5,5,57,5
3,15,6,6,52,52,5,5,57,5
3,16,6,6,52,52,5,5,57,5
3,17,6,6,52,52,5,5,57,5
3,18,6,6,52,52,5,5,57,5
3,19,6,6,52,52,5,5,57,5
3,20,6,6,52,52,10,5,57,5
3,21,6,6,52,52,12,5,57,5
3,22,6,6,53,52,13,5,57,5
3,23,6,6,53,52,18,5,57,5
3,24,6,6,53,52,20,5,57,5
3,25,6,6,54,52,23,5,57,5
3,26,6,6,55,52,28,5,57,5
3,27,6,6,55,52,36,5,57,5
3,28,6,6,59,52,46,5,57,5
3,29,6,6,63,52,62,5,57,5
3,30,6,6,73,52,91,5,57,5
3,31,6,6,74,52,93,5,57,5
4,0,6,6,52,52,5,5,57,5
4,1,6,6,52,52,5,5,57,5
4,2,6,6,52,52,5,5,57,5
4,3,6,6,52,52,5,5,57,5
4,4,6,6,52,52,5,5,57,5
4,5,6,6,52,52,5,5,57,5
4,6,6,6,52,52,5,5,57,5
4,7,6,6,52,52,5,5,57,5
4,8,6,6,52,52,5,5,57,5
4,9,6,6,52,52,5,5,57,5
4,10,6,6,52,52,5,5,57,5
4,11,6,6,52,52,5,5,57,5
4,12,6,6,52,52,5,5,57,5
4,13,6,6,52,52,5,5,57,5
4,14,6,6,52,52,5,5,57,5
4,15,6,6,52,52,5,5,57,5
4,16,6,6,52,52,5,5,57,5
4,17,6,6,52,52,5,5,57,5
4,18,6,6,52,52,5,5,57,5
4,19,6,6,52,52,5,5,57,5
4,20,6,6,52,52,10,5,57,5
4,21,6,6,52,52,12,5,57,5
4,22,6,6,53,52,13,5,57,5
4,23,6,6,53,52,18,5,57,5
4,24,6,6,53,52,20,5,57,5
4,25,6,6,54,52,23,5,57,5
4,26,6,6,55,52,28,5,57,5
4,27,6,6,55,52,36,5,57,5
4,28,6,6,59,52,46,5,57,5
4,29,6,6,63,52,62,5,57,5
4,30,6,6,73,52,91,5,57,5
4,31,6,6,74,52,93,5,57,5
5,0,6,6,52,52,5,5,57,5
5,1,6,6,52,52,5,5,57,5
5,2,6,6,52,52,5,5,57,5
5,3,6,6,52,52,5,5,57,5
5,4,6,6,52,52,5,5,57,5
5,5,6,6,52,52,5,5,57,5
5,6,6,6,52,52,5,5,57,5
5,7,6,6,52,52,5,5,57,5
5,8,6,6,52,52,5,5,57,5
5,9,6,6,52,52,5,5,57,5
5,10,6,6,52,52,5,5,57,5
5,11,6,6,52,52,5,5,57,5
5,12,6,6,52,52,5,5,57,5
5,13,6,6,52,52,5,5,57,5
5,14,6,6,52,52,5,5,57,5
5,15,6,6,52,52,5,5,57,5
5,16,6,6,52,52,5,5,57,5
5,17,6,6,52,52,5,5,57,5
5,18,6,6,52,52,5,5,57,5
5,19,6,6,52,52,5,5,57,5
5,20,6,6,52,52,10,5,57,5
5,21,6,6,52,52,12,5,57,5
5,22,6,6,53,52,13,5,57,5
5,23,6,6,53,52,18,5,57,5
5,24,6,6,53,52,20,5,57,5
5,25,6,6,54,52,23,5,57,5
5,26,6,6,55,52,28,5,57,5
5,27,6,6,55,52,36,5,57,5
5,28,6,6,59,52,46,5,57,5
5,29,6,6,63,52,62,5,57,5
5,30,6,6,73,52,91,5,57,5
5,31,6,6,74,52,93,5,57,5
6,0,6,6,52,52,5,5,57,5
6,1,6,6,52,52,5,5,57,5
6,2,6,6,52,52,5,5,57,5
6,3,6,6,52,52,5,5,57,5
6,4,6,6,52,52,5,5,57,5
6,5,6,6,52,52,5,5,57,5
6,6,6,6,52,52,5,5,57,5
6,7,6,6,52,52,5,5,57,5
6,8,6,6,52,52,5,5,57,5
6,9,6,6,52,52,5,5,57,5
6,10,6,6,52,52,5,5,57,5
6,11,6,6,52,52,5,5,57,5
6,12,6,6,52,52,5,5,57,5
6,13,6,6,52,52,5,5,57,5
6,14,6,6,52,52,5,5,57,5
6,15,6,6,52,52,5,5,57,5
6,16,6,6,52,52,5,5,57,5
6,17,6,6,52,52,5,5,57,5
6,18,6,6,52,52,5,5,57,5
6,19,6,6,52,52,5,5,57,5
6,20,6,6,52,52,10,5,57,5
6,21,6,6,52,52,12,5,57,5
6,22,6,6,53,52,13,5,57,5
6,23,6,6,53,52,18,5,57,5
6,24,6,6,53,52,20,5,57,5
6,25,6,6,54,52,23,5,57,5
6,26,6,6,55,52,28,5,57,5
6,27,6,6,55,52,36,5,57,5
6,28,6,6,59,52,46,5,57,5
6,29,6,6,63,52,62,5,57,5
6,30,6,6,73,52,91,5,57,5
6,31,6,6,74,52,93,5,57,5
7,0,6,6,52,52,5,5,57,5
7,1,6,6,52,52,5,5,57,5
7,2,6,6,52,52,5,5,57,5
7,3,6,6,52,52,5,5,57,5
7,4,6,6,52,52,5,5,57,5
7,5,6,6,52,52,5,5,57,5
7,6,6,6,52,52,5,5,57,5
